name,boss_num,prog_time,guild_name
The Council of Blood,6,21.42282,Style
Sludgefist,7,32.40227,Style
Stone Legion Generals,8,0.05471,Style
Shriekwing,0,0.361,Bros
Huntsman Altimor,1,1.56651,Bros
Hungering Destroyer,2,1.69773,Bros
Sun King's Salvation,3,1.71314,Bros
Artificer Xy'mox,4,5.52631,Bros
Lady Inerva Darkvein,5,2.54314,Bros
The Council of Blood,6,0.02223,Bros
Shriekwing,0,2.13883,Gratz
Huntsman Altimor,1,1.54912,Gratz
Hungering Destroyer,2,4.76688,Gratz
Sun King's Salvation,3,3.25998,Gratz
Artificer Xy'mox,4,11.94902,Gratz
Lady Inerva Darkvein,5,2.76248,Gratz
The Council of Blood,6,16.46515,Gratz
Sludgefist,7,16.68756,Gratz
Stone Legion Generals,8,0.03854,Gratz
Shriekwing,0,0.11242,Knights of the Cow King
Huntsman Altimor,1,1.63172,Knights of the Cow King
Hungering Destroyer,2,4.19717,Knights of the Cow King
Sun King's Salvation,3,0.03472,Knights of the Cow King
Artificer Xy'mox,4,0.04654,Knights of the Cow King
Shriekwing,0,0.33632,Le cénacle de Stromgarde
Huntsman Altimor,1,1.07301,Le cénacle de Stromgarde
Hungering Destroyer,2,0.57419,Le cénacle de Stromgarde
Sun King's Salvation,3,0.14288,Le cénacle de Stromgarde
Artificer Xy'mox,4,2.40048,Le cénacle de Stromgarde
Lady Inerva Darkvein,5,3.49664,Le cénacle de Stromgarde
The Council of Blood,6,0.01167,Le cénacle de Stromgarde
Sludgefist,7,0.03469,Le cénacle de Stromgarde
Stone Legion Generals,8,16.18641,Le cénacle de Stromgarde
Sire Denathrius,9,0.02556,Le cénacle de Stromgarde
Shriekwing,0,1.09903,Sacrament
Huntsman Altimor,1,0.17809,Sacrament
Hungering Destroyer,2,3.84521,Sacrament
Sun King's Salvation,3,1.98309,Sacrament
Lady Inerva Darkvein,5,0.02229,Sacrament
Shriekwing,0,1.41734,Invalid Role
Huntsman Altimor,1,0.83188,Invalid Role
Hungering Destroyer,2,7.71946,Invalid Role
Sun King's Salvation,3,4.17159,Invalid Role
Artificer Xy'mox,4,7.55975,Invalid Role
Lady Inerva Darkvein,5,0.33677,Invalid Role
The Council of Blood,6,13.52502,Invalid Role
Sludgefist,7,17.78045,Invalid Role
Stone Legion Generals,8,37.90466,Invalid Role
Sire Denathrius,9,0.02981,Invalid Role
Shriekwing,0,1.3178,Maiori Cede
Huntsman Altimor,1,4.93025,Maiori Cede
Hungering Destroyer,2,8.28298,Maiori Cede
Sun King's Salvation,3,5.07103,Maiori Cede
Artificer Xy'mox,4,4.59815,Maiori Cede
Lady Inerva Darkvein,5,7.44813,Maiori Cede
The Council of Blood,6,0.02598,Maiori Cede
Shriekwing,0,0.2907,Hypérium
Sire Denathrius,9,36.46674,Hypérium
Shriekwing,0,2.08953,Necropotence
Huntsman Altimor,1,2.92212,Necropotence
Hungering Destroyer,2,7.37082,Necropotence
Sun King's Salvation,3,1.68055,Necropotence
Artificer Xy'mox,4,1.77099,Necropotence
Lady Inerva Darkvein,5,0.25146,Necropotence
The Council of Blood,6,17.44347,Necropotence
Sludgefist,7,12.35488,Necropotence
Stone Legion Generals,8,38.75425,Necropotence
Sire Denathrius,9,0.03774,Necropotence
Shriekwing,0,0.11208,Fragment
Huntsman Altimor,1,0.62817,Fragment
Hungering Destroyer,2,2.99292,Fragment
Sun King's Salvation,3,0.0794,Fragment
Artificer Xy'mox,4,5.06212,Fragment
Lady Inerva Darkvein,5,2.464,Fragment
The Council of Blood,6,9.18841,Fragment
Sludgefist,7,3.61334,Fragment
Stone Legion Generals,8,15.73881,Fragment
Sire Denathrius,9,17.5575,Fragment
Shriekwing,0,1.16517,Klovner
Huntsman Altimor,1,0.45628,Klovner
Hungering Destroyer,2,3.50185,Klovner
Sun King's Salvation,3,4.92072,Klovner
Artificer Xy'mox,4,3.19339,Klovner
Lady Inerva Darkvein,5,5.97117,Klovner
The Council of Blood,6,0.02197,Klovner
Shriekwing,0,0.05984,Stellar
Huntsman Altimor,1,0.22512,Stellar
Hungering Destroyer,2,0.07774,Stellar
Sun King's Salvation,3,0.08604,Stellar
Artificer Xy'mox,4,0.17018,Stellar
Lady Inerva Darkvein,5,0.91727,Stellar
The Council of Blood,6,0.34056,Stellar
Sludgefist,7,0.23534,Stellar
Stone Legion Generals,8,2.6048,Stellar
Sire Denathrius,9,2.70645,Stellar
Shriekwing,0,2.47108,Last Ditch Effort
Huntsman Altimor,1,0.93139,Last Ditch Effort
Hungering Destroyer,2,3.3192,Last Ditch Effort
Sun King's Salvation,3,2.71587,Last Ditch Effort
Artificer Xy'mox,4,2.30844,Last Ditch Effort
Lady Inerva Darkvein,5,3.92233,Last Ditch Effort
The Council of Blood,6,12.19556,Last Ditch Effort
Sludgefist,7,9.52896,Last Ditch Effort
Stone Legion Generals,8,35.76189,Last Ditch Effort
Sire Denathrius,9,39.10784,Last Ditch Effort
Shriekwing,0,1.17733,PROOF
Huntsman Altimor,1,0.35078,PROOF
Hungering Destroyer,2,4.59983,PROOF
Sun King's Salvation,3,4.70812,PROOF
Artificer Xy'mox,4,0.03298,PROOF
Lady Inerva Darkvein,5,4.12553,PROOF
Shriekwing,0,0.51569,Arm of Hades
Huntsman Altimor,1,1.42255,Arm of Hades
Hungering Destroyer,2,2.11648,Arm of Hades
Sun King's Salvation,3,8.87695,Arm of Hades
Artificer Xy'mox,4,0.01226,Arm of Hades
Lady Inerva Darkvein,5,9.35146,Arm of Hades
Shriekwing,0,0.20968,Abstract
Huntsman Altimor,1,0.29828,Abstract
Hungering Destroyer,2,6.34156,Abstract
Sun King's Salvation,3,0.02465,Abstract
Lady Inerva Darkvein,5,3.13537,Abstract
Shriekwing,0,0.49619,undecided
Huntsman Altimor,1,0.50113,undecided
Hungering Destroyer,2,1.8392,undecided
Sun King's Salvation,3,2.39021,undecided
Artificer Xy'mox,4,1.71922,undecided
Lady Inerva Darkvein,5,3.38478,undecided
The Council of Blood,6,7.13362,undecided
Sludgefist,7,12.49908,undecided
Stone Legion Generals,8,10.58011,undecided
Sire Denathrius,9,18.23279,undecided
Shriekwing,0,0.09166,Dawn
Huntsman Altimor,1,3.23211,Dawn
Hungering Destroyer,2,2.98686,Dawn
Sun King's Salvation,3,2.20718,Dawn
Artificer Xy'mox,4,5.30065,Dawn
Lady Inerva Darkvein,5,1.87549,Dawn
The Council of Blood,6,2.62842,Dawn
Shriekwing,0,0.35464,月刃
Huntsman Altimor,1,0.07856,月刃
Hungering Destroyer,2,0.01807,月刃
Sun King's Salvation,3,2.14635,月刃
Artificer Xy'mox,4,0.50392,月刃
Lady Inerva Darkvein,5,2.6143,月刃
The Council of Blood,6,4.21497,月刃
Sludgefist,7,5.72108,月刃
Stone Legion Generals,8,9.24931,月刃
Sire Denathrius,9,8.23499,月刃
Shriekwing,0,0.91078,Core One
Huntsman Altimor,1,0.61371,Core One
Hungering Destroyer,2,4.92859,Core One
Sun King's Salvation,3,2.04359,Core One
Artificer Xy'mox,4,3.26114,Core One
Lady Inerva Darkvein,5,3.53249,Core One
The Council of Blood,6,14.20662,Core One
Sludgefist,7,9.56498,Core One
Stone Legion Generals,8,0.03926,Core One
Shriekwing,0,0.646,Fate
Huntsman Altimor,1,1.66967,Fate
Hungering Destroyer,2,6.99837,Fate
Sun King's Salvation,3,0.02821,Fate
Lady Inerva Darkvein,5,5.52251,Fate
Shriekwing,0,0.52908,Compliment Sandwich
Huntsman Altimor,1,0.18086,Compliment Sandwich
Hungering Destroyer,2,4.3865,Compliment Sandwich
Sun King's Salvation,3,5.66081,Compliment Sandwich
Artificer Xy'mox,4,6.12018,Compliment Sandwich
Lady Inerva Darkvein,5,7.67644,Compliment Sandwich
The Council of Blood,6,0.02268,Compliment Sandwich
Shriekwing,0,0.4391,Lüst On Ready Check
Huntsman Altimor,1,0.66871,Lüst On Ready Check
Hungering Destroyer,2,0.63775,Lüst On Ready Check
Sun King's Salvation,3,3.51197,Lüst On Ready Check
Artificer Xy'mox,4,1.69524,Lüst On Ready Check
Lady Inerva Darkvein,5,0.77488,Lüst On Ready Check
The Council of Blood,6,0.02363,Lüst On Ready Check
Shriekwing,0,0.08789,Last Try
Huntsman Altimor,1,0.07996,Last Try
Hungering Destroyer,2,0.16081,Last Try
Sun King's Salvation,3,1.50515,Last Try
Artificer Xy'mox,4,0.70985,Last Try
Lady Inerva Darkvein,5,2.67146,Last Try
The Council of Blood,6,0.03623,Last Try
Shriekwing,0,0.28004,Corrupted Dawn
Huntsman Altimor,1,1.82879,Corrupted Dawn
Hungering Destroyer,2,4.64513,Corrupted Dawn
Sun King's Salvation,3,0.03283,Corrupted Dawn
Lady Inerva Darkvein,5,1.13758,Corrupted Dawn
Shriekwing,0,0.98014,Ashen
Huntsman Altimor,1,0.657,Ashen
Hungering Destroyer,2,0.87528,Ashen
Sun King's Salvation,3,1.13076,Ashen
Artificer Xy'mox,4,2.68763,Ashen
Lady Inerva Darkvein,5,3.39086,Ashen
The Council of Blood,6,5.45029,Ashen
Sludgefist,7,7.97289,Ashen
Stone Legion Generals,8,25.51647,Ashen
Sire Denathrius,9,12.75955,Ashen
Shriekwing,0,2.35268,No
Huntsman Altimor,1,1.48029,No
Hungering Destroyer,2,4.6023,No
Sun King's Salvation,3,0.02976,No
Shriekwing,0,1.21686,LoFi Beats
Huntsman Altimor,1,1.10813,LoFi Beats
Hungering Destroyer,2,3.41263,LoFi Beats
Sun King's Salvation,3,2.26575,LoFi Beats
Artificer Xy'mox,4,4.89265,LoFi Beats
Lady Inerva Darkvein,5,5.18552,LoFi Beats
The Council of Blood,6,4.76211,LoFi Beats
Sludgefist,7,7.48112,LoFi Beats
Stone Legion Generals,8,22.99788,LoFi Beats
Sire Denathrius,9,31.58744,LoFi Beats
Shriekwing,0,2.59391,Its Mine I Licked It
Huntsman Altimor,1,1.54507,Its Mine I Licked It
Hungering Destroyer,2,1.60837,Its Mine I Licked It
Sun King's Salvation,3,2.57166,Its Mine I Licked It
Artificer Xy'mox,4,2.78305,Its Mine I Licked It
Lady Inerva Darkvein,5,2.81211,Its Mine I Licked It
The Council of Blood,6,8.79115,Its Mine I Licked It
Sludgefist,7,13.95856,Its Mine I Licked It
Stone Legion Generals,8,38.94505,Its Mine I Licked It
Sire Denathrius,9,0.0127,Its Mine I Licked It
Shriekwing,0,0.6828,No Giggling
Huntsman Altimor,1,1.30292,No Giggling
Hungering Destroyer,2,1.66782,No Giggling
Sun King's Salvation,3,1.57185,No Giggling
Artificer Xy'mox,4,2.78212,No Giggling
Lady Inerva Darkvein,5,4.70446,No Giggling
The Council of Blood,6,6.76044,No Giggling
Sludgefist,7,6.20487,No Giggling
Stone Legion Generals,8,25.60265,No Giggling
Sire Denathrius,9,34.90718,No Giggling
Shriekwing,0,0.94774,NEED HEALING
Huntsman Altimor,1,1.58411,NEED HEALING
Hungering Destroyer,2,1.55326,NEED HEALING
Sun King's Salvation,3,5.60646,NEED HEALING
Artificer Xy'mox,4,0.02994,NEED HEALING
Lady Inerva Darkvein,5,3.64004,NEED HEALING
Shriekwing,0,0.47233,Limelight
Huntsman Altimor,1,1.78843,Limelight
Hungering Destroyer,2,11.02207,Limelight
Sun King's Salvation,3,4.03191,Limelight
Artificer Xy'mox,4,2.67797,Limelight
Lady Inerva Darkvein,5,1.07482,Limelight
The Council of Blood,6,11.34946,Limelight
Sludgefist,7,10.30376,Limelight
Stone Legion Generals,8,19.71695,Limelight
Sire Denathrius,9,0.0199,Limelight
Shriekwing,0,0.57428,StudHunks
Huntsman Altimor,1,0.79984,StudHunks
Hungering Destroyer,2,1.18103,StudHunks
Sun King's Salvation,3,2.27122,StudHunks
Artificer Xy'mox,4,3.43852,StudHunks
Lady Inerva Darkvein,5,0.02297,StudHunks
Shriekwing,0,0.51198,Kildevangen
Huntsman Altimor,1,1.29329,Kildevangen
Hungering Destroyer,2,3.71826,Kildevangen
Sun King's Salvation,3,3.31526,Kildevangen
Artificer Xy'mox,4,4.93173,Kildevangen
Lady Inerva Darkvein,5,0.89985,Kildevangen
The Council of Blood,6,11.60713,Kildevangen
Sludgefist,7,12.54446,Kildevangen
Stone Legion Generals,8,0.03229,Kildevangen
Shriekwing,0,0.95797,Echoes of Honour
Huntsman Altimor,1,0.63159,Echoes of Honour
Hungering Destroyer,2,2.9739,Echoes of Honour
Sun King's Salvation,3,3.7255,Echoes of Honour
Lady Inerva Darkvein,5,2.60191,Echoes of Honour
Shriekwing,0,0.786,Epos
Huntsman Altimor,1,1.25104,Epos
Hungering Destroyer,2,3.72745,Epos
Sun King's Salvation,3,1.7259,Epos
Artificer Xy'mox,4,3.57302,Epos
Lady Inerva Darkvein,5,0.52501,Epos
The Council of Blood,6,6.41602,Epos
Sludgefist,7,3.5772,Epos
Stone Legion Generals,8,10.96803,Epos
Sire Denathrius,9,21.96332,Epos
Shriekwing,0,2.16757,Disconnected
Huntsman Altimor,1,0.65042,Disconnected
Hungering Destroyer,2,2.14711,Disconnected
Sun King's Salvation,3,0.52737,Disconnected
Artificer Xy'mox,4,0.04518,Disconnected
Shriekwing,0,0.4933,Group Five
Huntsman Altimor,1,0.33172,Group Five
Hungering Destroyer,2,1.6093,Group Five
Sun King's Salvation,3,1.67295,Group Five
Artificer Xy'mox,4,3.24998,Group Five
Lady Inerva Darkvein,5,4.66278,Group Five
The Council of Blood,6,8.48275,Group Five
Sludgefist,7,0.02059,Group Five
Shriekwing,0,1.49481,Remastered
Huntsman Altimor,1,0.91113,Remastered
Hungering Destroyer,2,4.33873,Remastered
Sun King's Salvation,3,4.08509,Remastered
Artificer Xy'mox,4,2.30971,Remastered
Lady Inerva Darkvein,5,2.43227,Remastered
The Council of Blood,6,0.02919,Remastered
Shriekwing,0,0.75319,Edgy Noun
Huntsman Altimor,1,3.40521,Edgy Noun
Hungering Destroyer,2,1.66268,Edgy Noun
Sun King's Salvation,3,1.72981,Edgy Noun
Artificer Xy'mox,4,7.43901,Edgy Noun
Lady Inerva Darkvein,5,2.12933,Edgy Noun
The Council of Blood,6,10.93402,Edgy Noun
Sludgefist,7,8.35432,Edgy Noun
Stone Legion Generals,8,29.97697,Edgy Noun
Sire Denathrius,9,43.48462,Edgy Noun
Shriekwing,0,0.97121,Troublemakers
Huntsman Altimor,1,0.86098,Troublemakers
Hungering Destroyer,2,9.28881,Troublemakers
Sun King's Salvation,3,2.24274,Troublemakers
Artificer Xy'mox,4,2.40844,Troublemakers
Lady Inerva Darkvein,5,1.87001,Troublemakers
The Council of Blood,6,5.05476,Troublemakers
Sludgefist,7,0.01814,Troublemakers
Stone Legion Generals,8,0.03718,Troublemakers
Shriekwing,0,0.70009,Unstable Addiction
Huntsman Altimor,1,1.4859,Unstable Addiction
Hungering Destroyer,2,6.25578,Unstable Addiction
Sun King's Salvation,3,3.50547,Unstable Addiction
Artificer Xy'mox,4,1.33271,Unstable Addiction
Lady Inerva Darkvein,5,3.79289,Unstable Addiction
The Council of Blood,6,13.06684,Unstable Addiction
Sludgefist,7,0.01652,Unstable Addiction
Shriekwing,0,0.85005,Vox Nihil
Huntsman Altimor,1,4.02108,Vox Nihil
Hungering Destroyer,2,2.24454,Vox Nihil
Sun King's Salvation,3,3.61326,Vox Nihil
Artificer Xy'mox,4,5.37625,Vox Nihil
Lady Inerva Darkvein,5,3.23139,Vox Nihil
The Council of Blood,6,17.21529,Vox Nihil
Sludgefist,7,10.34475,Vox Nihil
Stone Legion Generals,8,33.35026,Vox Nihil
Sire Denathrius,9,40.12673,Vox Nihil
Shriekwing,0,0.7137,Drifted
Huntsman Altimor,1,0.29614,Drifted
Hungering Destroyer,2,4.09263,Drifted
Sun King's Salvation,3,4.33502,Drifted
Artificer Xy'mox,4,1.42993,Drifted
Lady Inerva Darkvein,5,2.08935,Drifted
The Council of Blood,6,0.0303,Drifted
Sludgefist,7,0.04036,Drifted
Shriekwing,0,0.32434,is kinda like god
Huntsman Altimor,1,1.00284,is kinda like god
Hungering Destroyer,2,2.1866,is kinda like god
Sun King's Salvation,3,0.84046,is kinda like god
Artificer Xy'mox,4,1.11993,is kinda like god
Lady Inerva Darkvein,5,3.18532,is kinda like god
The Council of Blood,6,0.05503,is kinda like god
Shriekwing,0,0.75566,Business Casual
Huntsman Altimor,1,1.62459,Business Casual
Hungering Destroyer,2,6.08575,Business Casual
Sun King's Salvation,3,7.21779,Business Casual
Artificer Xy'mox,4,4.80282,Business Casual
Lady Inerva Darkvein,5,6.67977,Business Casual
The Council of Blood,6,21.06745,Business Casual
Sludgefist,7,0.03169,Business Casual
Shriekwing,0,1.1586,Axon Terminal
Huntsman Altimor,1,0.75803,Axon Terminal
Hungering Destroyer,2,5.83017,Axon Terminal
Sun King's Salvation,3,6.86356,Axon Terminal
Artificer Xy'mox,4,2.64643,Axon Terminal
Lady Inerva Darkvein,5,4.85717,Axon Terminal
The Council of Blood,6,14.31881,Axon Terminal
Sludgefist,7,9.30394,Axon Terminal
Stone Legion Generals,8,35.81103,Axon Terminal
Sire Denathrius,9,22.60921,Axon Terminal
Shriekwing,0,1.61915,Nice Young Men
Huntsman Altimor,1,0.92978,Nice Young Men
Hungering Destroyer,2,1.86942,Nice Young Men
Sun King's Salvation,3,2.95186,Nice Young Men
Artificer Xy'mox,4,2.39553,Nice Young Men
Shriekwing,0,0.17427,Burnout
Huntsman Altimor,1,1.2594,Burnout
Hungering Destroyer,2,3.80416,Burnout
Sun King's Salvation,3,1.01782,Burnout
Artificer Xy'mox,4,0.39535,Burnout
Lady Inerva Darkvein,5,0.07093,Burnout
The Council of Blood,6,0.01946,Burnout
Sludgefist,7,0.75286,Burnout
Sire Denathrius,9,0.16456,Burnout
Shriekwing,0,0.09371,Jet Set Club
Huntsman Altimor,1,0.38897,Jet Set Club
Hungering Destroyer,2,2.83568,Jet Set Club
Sun King's Salvation,3,5.10181,Jet Set Club
Artificer Xy'mox,4,5.02726,Jet Set Club
Lady Inerva Darkvein,5,2.85119,Jet Set Club
The Council of Blood,6,5.7633,Jet Set Club
Stone Legion Generals,8,16.52255,Jet Set Club
Sire Denathrius,9,7.16084,Jet Set Club
Shriekwing,0,2.14948,Voracious
Huntsman Altimor,1,2.4121,Voracious
Hungering Destroyer,2,7.48288,Voracious
Sun King's Salvation,3,3.63035,Voracious
Artificer Xy'mox,4,3.54831,Voracious
Lady Inerva Darkvein,5,1.61234,Voracious
The Council of Blood,6,12.23519,Voracious
Sludgefist,7,11.19135,Voracious
Stone Legion Generals,8,27.77318,Voracious
Sire Denathrius,9,45.33332,Voracious
Shriekwing,0,1.14521,Full Blast
Huntsman Altimor,1,0.43691,Full Blast
Hungering Destroyer,2,4.62057,Full Blast
Sun King's Salvation,3,5.71046,Full Blast
Artificer Xy'mox,4,2.9186,Full Blast
Lady Inerva Darkvein,5,2.4903,Full Blast
The Council of Blood,6,8.39031,Full Blast
Sludgefist,7,11.13629,Full Blast
Stone Legion Generals,8,0.04482,Full Blast
Shriekwing,0,2.35673,Perpetual
Huntsman Altimor,1,1.48771,Perpetual
Hungering Destroyer,2,1.62682,Perpetual
Sun King's Salvation,3,1.645,Perpetual
Artificer Xy'mox,4,0.46652,Perpetual
Lady Inerva Darkvein,5,0.57316,Perpetual
The Council of Blood,6,10.2524,Perpetual
Sludgefist,7,11.64483,Perpetual
Stone Legion Generals,8,0.03308,Perpetual
Shriekwing,0,0.31082,Lucidity
Huntsman Altimor,1,0.47011,Lucidity
Hungering Destroyer,2,3.96206,Lucidity
Sun King's Salvation,3,0.04153,Lucidity
Artificer Xy'mox,4,0.04251,Lucidity
Lady Inerva Darkvein,5,6.21512,Lucidity
Shriekwing,0,0.08876,Downwards Trend
Huntsman Altimor,1,0.17162,Downwards Trend
Hungering Destroyer,2,0.09943,Downwards Trend
Sun King's Salvation,3,0.93016,Downwards Trend
Artificer Xy'mox,4,0.14383,Downwards Trend
Lady Inerva Darkvein,5,7.67199,Downwards Trend
The Council of Blood,6,0.08645,Downwards Trend
Sludgefist,7,0.03063,Downwards Trend
Shriekwing,0,0.36007,The Burning Stone
Huntsman Altimor,1,0.07158,The Burning Stone
Hungering Destroyer,2,0.09705,The Burning Stone
Sun King's Salvation,3,0.22429,The Burning Stone
Artificer Xy'mox,4,5.00192,The Burning Stone
Lady Inerva Darkvein,5,1.02126,The Burning Stone
The Council of Blood,6,11.54352,The Burning Stone
Sludgefist,7,13.9051,The Burning Stone
Stone Legion Generals,8,0.03671,The Burning Stone
Sire Denathrius,9,0.03168,The Burning Stone
Shriekwing,0,0.08329,Happy Little Accidents
Huntsman Altimor,1,0.69101,Happy Little Accidents
Hungering Destroyer,2,2.61153,Happy Little Accidents
Sun King's Salvation,3,0.29426,Happy Little Accidents
Artificer Xy'mox,4,1.25769,Happy Little Accidents
Lady Inerva Darkvein,5,0.54129,Happy Little Accidents
The Council of Blood,6,0.0335,Happy Little Accidents
Shriekwing,0,0.25583,Blood
Huntsman Altimor,1,0.33044,Blood
Hungering Destroyer,2,0.11284,Blood
Sun King's Salvation,3,0.9513,Blood
Artificer Xy'mox,4,2.53415,Blood
Lady Inerva Darkvein,5,1.68093,Blood
Shriekwing,0,0.67605,Crimson Brotherhood
Huntsman Altimor,1,1.8571,Crimson Brotherhood
Hungering Destroyer,2,7.66381,Crimson Brotherhood
Sun King's Salvation,3,0.03104,Crimson Brotherhood
Lady Inerva Darkvein,5,0.0361,Crimson Brotherhood
Shriekwing,0,0.33036,Junkyard
Huntsman Altimor,1,0.21661,Junkyard
Hungering Destroyer,2,0.37419,Junkyard
Sun King's Salvation,3,0.65682,Junkyard
Artificer Xy'mox,4,3.60276,Junkyard
Lady Inerva Darkvein,5,0.86858,Junkyard
The Council of Blood,6,2.86362,Junkyard
Sludgefist,7,3.85649,Junkyard
Stone Legion Generals,8,0.01984,Junkyard
Shriekwing,0,0.20926,Nàstrandir
Huntsman Altimor,1,1.78653,Nàstrandir
Hungering Destroyer,2,0.63271,Nàstrandir
Sun King's Salvation,3,2.16732,Nàstrandir
Artificer Xy'mox,4,5.01548,Nàstrandir
Lady Inerva Darkvein,5,1.57423,Nàstrandir
The Council of Blood,6,8.14707,Nàstrandir
Sludgefist,7,12.16889,Nàstrandir
Stone Legion Generals,8,13.45179,Nàstrandir
Sire Denathrius,9,28.38371,Nàstrandir
Shriekwing,0,0.59807,Utsukushii Saisei
Huntsman Altimor,1,0.2165,Utsukushii Saisei
Hungering Destroyer,2,2.89181,Utsukushii Saisei
Sun King's Salvation,3,0.08572,Utsukushii Saisei
Artificer Xy'mox,4,1.49518,Utsukushii Saisei
Lady Inerva Darkvein,5,0.02456,Utsukushii Saisei
The Council of Blood,6,0.02916,Utsukushii Saisei
Shriekwing,0,1.10003,BadCrew
Huntsman Altimor,1,1.193,BadCrew
Hungering Destroyer,2,6.81129,BadCrew
Sun King's Salvation,3,3.77125,BadCrew
Artificer Xy'mox,4,2.66487,BadCrew
Lady Inerva Darkvein,5,2.41446,BadCrew
The Council of Blood,6,8.32368,BadCrew
Sludgefist,7,0.02562,BadCrew
Shriekwing,0,0.10597,Mercenary
Huntsman Altimor,1,0.10391,Mercenary
Hungering Destroyer,2,3.1445,Mercenary
Sun King's Salvation,3,0.56308,Mercenary
Artificer Xy'mox,4,5.41527,Mercenary
Shriekwing,0,0.15365,Nurfed
Huntsman Altimor,1,0.60328,Nurfed
Hungering Destroyer,2,2.55648,Nurfed
Sun King's Salvation,3,3.04673,Nurfed
Artificer Xy'mox,4,3.69097,Nurfed
Lady Inerva Darkvein,5,2.97112,Nurfed
The Council of Blood,6,7.33415,Nurfed
Sludgefist,7,10.28604,Nurfed
Stone Legion Generals,8,21.85171,Nurfed
Sire Denathrius,9,19.02299,Nurfed
Shriekwing,0,0.85883,Infinite Warsong
Huntsman Altimor,1,1.20412,Infinite Warsong
Hungering Destroyer,2,6.53959,Infinite Warsong
Sun King's Salvation,3,2.08734,Infinite Warsong
Artificer Xy'mox,4,3.33296,Infinite Warsong
Lady Inerva Darkvein,5,3.77224,Infinite Warsong
The Council of Blood,6,13.25222,Infinite Warsong
Sludgefist,7,0.01354,Infinite Warsong
Shriekwing,0,0.45618,SwedishBullFika
Huntsman Altimor,1,0.4401,SwedishBullFika
Hungering Destroyer,2,1.36145,SwedishBullFika
Sun King's Salvation,3,0.40088,SwedishBullFika
Artificer Xy'mox,4,2.19594,SwedishBullFika
Lady Inerva Darkvein,5,2.81105,SwedishBullFika
The Council of Blood,6,6.04942,SwedishBullFika
Shriekwing,0,0.21223,Arcane Council
Huntsman Altimor,1,1.00912,Arcane Council
Hungering Destroyer,2,5.69754,Arcane Council
Sun King's Salvation,3,0.02766,Arcane Council
Shriekwing,0,0.24174,Ape Enclosure
Huntsman Altimor,1,0.97418,Ape Enclosure
Hungering Destroyer,2,5.32711,Ape Enclosure
Sun King's Salvation,3,1.99366,Ape Enclosure
Artificer Xy'mox,4,2.79721,Ape Enclosure
Lady Inerva Darkvein,5,3.46874,Ape Enclosure
The Council of Blood,6,9.80027,Ape Enclosure
Sludgefist,7,15.72777,Ape Enclosure
Stone Legion Generals,8,0.04024,Ape Enclosure
Shriekwing,0,1.12349,Lubie Gofery
Huntsman Altimor,1,1.81673,Lubie Gofery
Hungering Destroyer,2,9.24349,Lubie Gofery
Sun King's Salvation,3,3.65454,Lubie Gofery
Artificer Xy'mox,4,1.17768,Lubie Gofery
Lady Inerva Darkvein,5,3.80062,Lubie Gofery
The Council of Blood,6,0.01669,Lubie Gofery
Shriekwing,0,1.40748,Conviction
Huntsman Altimor,1,2.24919,Conviction
Hungering Destroyer,2,4.66073,Conviction
Sun King's Salvation,3,9.31224,Conviction
Artificer Xy'mox,4,8.03294,Conviction
Lady Inerva Darkvein,5,5.52863,Conviction
The Council of Blood,6,20.58618,Conviction
Sludgefist,7,26.26693,Conviction
Stone Legion Generals,8,51.75054,Conviction
Sire Denathrius,9,76.5188,Conviction
Sire Denathrius,9,29.54711,The Extendables
Shriekwing,0,0.65655,oZn
Huntsman Altimor,1,1.72789,oZn
Hungering Destroyer,2,7.36771,oZn
Sun King's Salvation,3,3.61555,oZn
Artificer Xy'mox,4,11.0336,oZn
Lady Inerva Darkvein,5,7.36183,oZn
The Council of Blood,6,14.23756,oZn
Sludgefist,7,0.01753,oZn
Shriekwing,0,0.82425,Red Sky
Huntsman Altimor,1,1.39796,Red Sky
Hungering Destroyer,2,9.71112,Red Sky
Sun King's Salvation,3,2.15696,Red Sky
Artificer Xy'mox,4,4.54697,Red Sky
Lady Inerva Darkvein,5,6.64527,Red Sky
The Council of Blood,6,13.1997,Red Sky
Sludgefist,7,10.17944,Red Sky
Shriekwing,0,0.18879,Corgi Crew
Huntsman Altimor,1,1.58257,Corgi Crew
Hungering Destroyer,2,3.19051,Corgi Crew
Lady Inerva Darkvein,5,0.03608,Corgi Crew
Shriekwing,0,0.62676,Wined N Dined
Huntsman Altimor,1,1.35796,Wined N Dined
Hungering Destroyer,2,0.83595,Wined N Dined
Sun King's Salvation,3,3.07209,Wined N Dined
Artificer Xy'mox,4,4.32057,Wined N Dined
Lady Inerva Darkvein,5,2.73715,Wined N Dined
The Council of Blood,6,7.25695,Wined N Dined
Sludgefist,7,3.75872,Wined N Dined
Stone Legion Generals,8,15.28015,Wined N Dined
Sire Denathrius,9,22.76368,Wined N Dined
Shriekwing,0,1.35222,Initium Novum
Huntsman Altimor,1,1.2412,Initium Novum
Hungering Destroyer,2,9.01532,Initium Novum
Sun King's Salvation,3,1.77542,Initium Novum
Shriekwing,0,0.36662,Capsule Corp
Huntsman Altimor,1,2.82977,Capsule Corp
Hungering Destroyer,2,0.43522,Capsule Corp
Sun King's Salvation,3,2.75528,Capsule Corp
Artificer Xy'mox,4,5.09179,Capsule Corp
