name,boss_num,prog_time,guild_name
Lady Inerva Darkvein,5,4.7695,How Long On Brez
Shriekwing,0,0.21958,Plan B
Huntsman Altimor,1,0.07536,Plan B
Hungering Destroyer,2,0.79683,Plan B
Sun King's Salvation,3,0.60178,Plan B
Artificer Xy'mox,4,1.39336,Plan B
Lady Inerva Darkvein,5,3.54723,Plan B
The Council of Blood,6,0.007,Plan B
Shriekwing,0,0.2572,Albino Toilet Boys
Huntsman Altimor,1,0.43464,Albino Toilet Boys
Hungering Destroyer,2,1.06833,Albino Toilet Boys
Sun King's Salvation,3,0.92431,Albino Toilet Boys
Artificer Xy'mox,4,2.82948,Albino Toilet Boys
Lady Inerva Darkvein,5,3.46516,Albino Toilet Boys
The Council of Blood,6,7.74141,Albino Toilet Boys
Sludgefist,7,5.31669,Albino Toilet Boys
Stone Legion Generals,8,29.45599,Albino Toilet Boys
Sire Denathrius,9,29.24586,Albino Toilet Boys
Shriekwing,0,2.08086,Inside Voices
Huntsman Altimor,1,0.42564,Inside Voices
Hungering Destroyer,2,0.868,Inside Voices
Sun King's Salvation,3,0.47868,Inside Voices
Artificer Xy'mox,4,0.82101,Inside Voices
Lady Inerva Darkvein,5,0.08698,Inside Voices
The Council of Blood,6,0.12484,Inside Voices
Sludgefist,7,1.18494,Inside Voices
Stone Legion Generals,8,3.6711,Inside Voices
Sire Denathrius,9,1.12837,Inside Voices
Shriekwing,0,0.72098,Digital Dummies
Huntsman Altimor,1,0.95852,Digital Dummies
Hungering Destroyer,2,5.47995,Digital Dummies
Sun King's Salvation,3,3.90361,Digital Dummies
Artificer Xy'mox,4,6.95028,Digital Dummies
Lady Inerva Darkvein,5,4.96331,Digital Dummies
The Council of Blood,6,0.02225,Digital Dummies
Shriekwing,0,0.17473,Something Clever
Huntsman Altimor,1,0.68002,Something Clever
Hungering Destroyer,2,0.36948,Something Clever
Sun King's Salvation,3,1.82261,Something Clever
Artificer Xy'mox,4,5.59402,Something Clever
Lady Inerva Darkvein,5,2.43513,Something Clever
The Council of Blood,6,11.71769,Something Clever
Sludgefist,7,8.63291,Something Clever
Stone Legion Generals,8,36.99422,Something Clever
Sire Denathrius,9,29.98563,Something Clever
Shriekwing,0,0.22494,Snowblind
Huntsman Altimor,1,0.52654,Snowblind
Hungering Destroyer,2,3.10243,Snowblind
Sun King's Salvation,3,1.92126,Snowblind
Artificer Xy'mox,4,4.06243,Snowblind
Lady Inerva Darkvein,5,1.94801,Snowblind
The Council of Blood,6,13.11306,Snowblind
Sludgefist,7,5.62629,Snowblind
Stone Legion Generals,8,18.24658,Snowblind
Sire Denathrius,9,24.96294,Snowblind
Shriekwing,0,0.11688,Malediction
Huntsman Altimor,1,0.09492,Malediction
Hungering Destroyer,2,4.37446,Malediction
Sun King's Salvation,3,1.18658,Malediction
Lady Inerva Darkvein,5,0.07019,Malediction
Shriekwing,0,1.61567,Law
Huntsman Altimor,1,1.55074,Law
Hungering Destroyer,2,5.34922,Law
Sun King's Salvation,3,4.85342,Law
Artificer Xy'mox,4,5.01111,Law
Lady Inerva Darkvein,5,2.56124,Law
The Council of Blood,6,9.97885,Law
Sludgefist,7,9.11138,Law
Stone Legion Generals,8,0.01683,Law
Shriekwing,0,0.27515,Symmetry
Huntsman Altimor,1,2.08786,Symmetry
Hungering Destroyer,2,4.79344,Symmetry
Sun King's Salvation,3,8.98012,Symmetry
Artificer Xy'mox,4,4.57407,Symmetry
Lady Inerva Darkvein,5,3.20344,Symmetry
The Council of Blood,6,0.03046,Symmetry
Shriekwing,0,0.26038,Dragonflight
Huntsman Altimor,1,0.26784,Dragonflight
Hungering Destroyer,2,9.91274,Dragonflight
Sun King's Salvation,3,6.75047,Dragonflight
Shriekwing,0,1.15609,NERF
Huntsman Altimor,1,0.28038,NERF
Hungering Destroyer,2,1.62123,NERF
Sun King's Salvation,3,0.21925,NERF
Artificer Xy'mox,4,0.35493,NERF
Lady Inerva Darkvein,5,0.09438,NERF
The Council of Blood,6,2.85665,NERF
Stone Legion Generals,8,0.04688,NERF
Sire Denathrius,9,0.01918,NERF
Shriekwing,0,0.45627,PEERLESS
Huntsman Altimor,1,1.16985,PEERLESS
Hungering Destroyer,2,6.09341,PEERLESS
Sun King's Salvation,3,6.37912,PEERLESS
Artificer Xy'mox,4,3.18967,PEERLESS
Huntsman Altimor,1,1.49714,Tempest
Lady Inerva Darkvein,5,1.97009,PEERLESS
The Council of Blood,6,0.01391,PEERLESS
Shriekwing,0,0.38844,Baddies
Huntsman Altimor,1,0.97588,Baddies
Hungering Destroyer,2,3.17056,Baddies
Sun King's Salvation,3,2.87678,Baddies
Artificer Xy'mox,4,11.05045,Baddies
Lady Inerva Darkvein,5,0.82978,Baddies
The Council of Blood,6,8.5268,Baddies
Sludgefist,7,9.97957,Baddies
Stone Legion Generals,8,20.9382,Baddies
Sire Denathrius,9,22.61173,Baddies
Shriekwing,0,0.34702,Memoria
Huntsman Altimor,1,0.69441,Memoria
Hungering Destroyer,2,2.41861,Memoria
Sun King's Salvation,3,2.2321,Memoria
Artificer Xy'mox,4,1.88454,Memoria
Lady Inerva Darkvein,5,1.14189,Memoria
The Council of Blood,6,1.88334,Memoria
Sludgefist,7,0.94253,Memoria
Stone Legion Generals,8,17.94292,Memoria
Sire Denathrius,9,26.25987,Memoria
Shriekwing,0,0.15184,flex my rolex
Huntsman Altimor,1,0.67123,flex my rolex
Hungering Destroyer,2,0.16561,flex my rolex
Sun King's Salvation,3,0.86234,flex my rolex
Artificer Xy'mox,4,0.8915,flex my rolex
Lady Inerva Darkvein,5,4.03981,flex my rolex
The Council of Blood,6,4.68203,flex my rolex
Sludgefist,7,6.99327,flex my rolex
Stone Legion Generals,8,28.10087,flex my rolex
Sire Denathrius,9,0.02565,flex my rolex
Shriekwing,0,0.93055,Get Well Soon
Huntsman Altimor,1,0.70634,Get Well Soon
Hungering Destroyer,2,1.16575,Get Well Soon
Sun King's Salvation,3,3.16847,Get Well Soon
Artificer Xy'mox,4,1.88933,Get Well Soon
Lady Inerva Darkvein,5,2.1873,Get Well Soon
The Council of Blood,6,12.68623,Get Well Soon
Sludgefist,7,5.26496,Get Well Soon
Stone Legion Generals,8,33.36256,Get Well Soon
Sire Denathrius,9,29.42412,Get Well Soon
Shriekwing,0,1.6924,Cutting Hedge
Huntsman Altimor,1,0.65506,Cutting Hedge
Hungering Destroyer,2,3.24958,Cutting Hedge
Sun King's Salvation,3,2.77394,Cutting Hedge
Artificer Xy'mox,4,4.76889,Cutting Hedge
Lady Inerva Darkvein,5,0.02807,Cutting Hedge
The Council of Blood,6,10.22859,Cutting Hedge
Sludgefist,7,8.16851,Cutting Hedge
Stone Legion Generals,8,35.20191,Cutting Hedge
Sire Denathrius,9,43.55946,Cutting Hedge
Shriekwing,0,0.52803,Not Solo
Huntsman Altimor,1,0.83758,Not Solo
Hungering Destroyer,2,2.66359,Not Solo
Sun King's Salvation,3,3.20547,Not Solo
Artificer Xy'mox,4,3.92757,Not Solo
Lady Inerva Darkvein,5,0.11328,Not Solo
The Council of Blood,6,0.04394,Not Solo
Shriekwing,0,1.23493,Ethereal
Huntsman Altimor,1,1.86287,Ethereal
Hungering Destroyer,2,10.46337,Ethereal
Sun King's Salvation,3,12.49352,Ethereal
Artificer Xy'mox,4,8.72037,Ethereal
Lady Inerva Darkvein,5,7.22129,Ethereal
The Council of Blood,6,16.49181,Ethereal
Sludgefist,7,15.42369,Ethereal
Stone Legion Generals,8,20.92803,Ethereal
Sire Denathrius,9,35.84603,Ethereal
Shriekwing,0,0.08646,Faded Intent
Huntsman Altimor,1,0.52323,Faded Intent
Hungering Destroyer,2,0.85967,Faded Intent
Sun King's Salvation,3,1.01476,Faded Intent
Artificer Xy'mox,4,2.54011,Faded Intent
Lady Inerva Darkvein,5,3.38375,Faded Intent
The Council of Blood,6,0.02656,Faded Intent
Stone Legion Generals,8,0.02758,Faded Intent
Shriekwing,0,1.46826,The Bizarre Adventure
Huntsman Altimor,1,0.81957,The Bizarre Adventure
Hungering Destroyer,2,1.58931,The Bizarre Adventure
Sun King's Salvation,3,0.02962,The Bizarre Adventure
Lady Inerva Darkvein,5,9.12428,The Bizarre Adventure
Shriekwing,0,0.3881,Side Project
Huntsman Altimor,1,1.75984,Side Project
Hungering Destroyer,2,3.4588,Side Project
Sun King's Salvation,3,6.52174,Side Project
Artificer Xy'mox,4,1.72473,Side Project
Lady Inerva Darkvein,5,6.83822,Side Project
The Council of Blood,6,15.31548,Side Project
Sludgefist,7,8.73687,Side Project
Stone Legion Generals,8,19.50128,Side Project
Sire Denathrius,9,35.6224,Side Project
Shriekwing,0,0.10084,ZugZug
Huntsman Altimor,1,0.77931,ZugZug
Hungering Destroyer,2,5.00544,ZugZug
Sun King's Salvation,3,0.78665,ZugZug
